Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
EMP1001,Operations,28,28278,9,37,54,No
EMP1002,HR,55,36395,19,43,42,Yes
EMP1003,IT,35,91237,20,30,75,Yes
EMP1004,Operations,55,79987,8,44,77,Yes
EMP1005,HR,31,116506,14,40,57,No
EMP1006,Sales,27,37156,13,33,62,No
EMP1007,Marketing,37,30695,15,47,47,No
EMP1008,Finance,26,97357,10,56,80,Yes
EMP1009,Sales,57,50203,3,31,82,Yes
EMP1010,Sales,26,55512,4,42,57,No
EMP1011,Sales,31,73520,12,36,82,Yes
EMP1012,Operations,25,104840,6,47,86,Yes
EMP1013,Finance,45,60382,18,37,83,Yes
EMP1014,HR,35,29207,11,42,57,Yes
EMP1015,Marketing,41,52869,16,42,96,No
EMP1016,Finance,30,59718,5,37,87,Yes
EMP1017,Sales,58,81155,19,42,63,No
EMP1018,IT,53,89686,3,54,43,No
EMP1019,IT,31,114192,14,49,44,No
EMP1020,Marketing,50,94352,9,47,95,No
EMP1021,Operations,28,114353,18,54,57,No
EMP1022,Sales,28,63469,14,35,69,Yes
EMP1023,Operations,37,90612,6,46,98,Yes
EMP1024,Operations,40,108748,17,49,52,No
EMP1025,IT,55,94514,1,49,60,No
EMP1026,HR,44,65306,8,31,55,No
EMP1027,HR,26,88699,3,54,74,No
EMP1028,IT,51,97063,6,38,73,No
EMP1029,Finance,34,95686,7,52,59,No
EMP1030,Operations,44,82422,17,44,47,No
EMP1031,HR,42,27757,19,47,54,No
EMP1032,HR,25,117778,2,37,44,No
EMP1033,Sales,25,92391,8,38,82,Yes
EMP1034,Marketing,29,119811,19,48,70,Yes
EMP1035,Finance,47,49957,4,33,82,Yes
EMP1036,Finance,47,86213,2,51,81,No
EMP1037,HR,24,77772,11,55,95,Yes
EMP1038,IT,33,95292,15,34,67,Yes
EMP1039,Finance,36,34880,15,55,95,No
EMP1040,HR,24,110477,18,56,40,No
EMP1041,IT,31,78269,16,45,53,No
EMP1042,HR,31,74672,1,42,56,No
EMP1043,Finance,39,80444,18,51,85,Yes
EMP1044,IT,39,53534,2,48,87,Yes
EMP1045,Operations,41,32492,2,48,70,No
EMP1046,Marketing,31,32455,17,32,94,Yes
EMP1047,Marketing,25,113501,8,42,47,No
EMP1048,Marketing,36,100880,20,31,79,Yes
EMP1049,Operations,58,99085,17,40,99,Yes
EMP1050,Operations,41,56285,9,42,48,No
EMP1051,Sales,50,66441,3,30,69,No
EMP1052,Marketing,27,34602,18,36,72,Yes
EMP1053,Sales,25,57018,12,39,50,No
EMP1054,Marketing,40,105173,17,30,82,No
EMP1055,Sales,27,42601,9,33,96,Yes
EMP1056,Marketing,30,60697,10,49,53,No
EMP1057,IT,37,91244,16,38,97,No
EMP1058,HR,26,108136,14,56,57,Yes
EMP1059,Sales,29,108507,9,35,87,Yes
EMP1060,Operations,48,98519,1,33,44,No
EMP1061,Operations,30,96511,2,56,63,No
EMP1062,IT,48,41704,2,39,63,No
EMP1063,HR,43,52535,8,51,46,No
EMP1064,Marketing,47,106351,5,59,99,Yes
EMP1065,IT,32,79040,1,35,87,No
EMP1066,Finance,36,59970,6,55,84,Yes
EMP1067,HR,51,54154,7,56,98,Yes
EMP1068,Sales,35,54219,1,51,52,No
EMP1069,Sales,25,61585,12,50,72,Yes
EMP1070,Marketing,42,28617,4,58,56,No
EMP1071,Sales,23,39208,20,43,62,No
EMP1072,Sales,48,104457,17,33,64,No
EMP1073,IT,37,30817,14,30,73,No
EMP1074,Marketing,33,72739,14,32,100,Yes
EMP1075,Sales,41,111951,4,53,97,Yes
EMP1076,Sales,47,67753,13,52,58,No
EMP1077,IT,47,112153,13,51,87,No
EMP1078,Marketing,57,64446,13,47,93,Yes
EMP1079,Sales,34,81346,19,49,81,Yes
EMP1080,Finance,49,113555,7,46,70,No
EMP1081,Operations,31,111356,3,39,72,No
EMP1082,Marketing,42,37240,8,51,59,No
EMP1083,IT,30,28201,2,37,70,No
EMP1084,HR,50,79321,19,36,85,Yes
EMP1085,Finance,46,56979,5,50,84,Yes
EMP1086,HR,48,53683,6,55,84,Yes
EMP1087,HR,56,57662,4,44,48,No
EMP1088,Operations,54,98259,20,40,100,Yes
EMP1089,Finance,53,80933,18,44,97,Yes
EMP1090,Finance,49,58972,8,56,80,Yes
EMP1091,Marketing,52,107149,8,38,68,Yes
EMP1092,Sales,36,60614,11,40,97,Yes
EMP1093,IT,30,55311,13,52,49,No
EMP1094,HR,47,78424,11,47,69,No
EMP1095,IT,47,76049,19,60,84,Yes
EMP1096,Marketing,45,87518,1,60,62,No
EMP1097,Finance,47,95545,18,55,78,No
EMP1098,Finance,35,60774,14,45,41,No
EMP1099,Operations,46,119919,6,56,69,No
EMP1100,Marketing,55,28534,13,48,76,No
EMP1101,HR,48,42786,15,35,43,No
EMP1102,Sales,34,84598,11,40,88,No
EMP1103,Sales,47,58065,3,45,41,No
EMP1104,HR,43,54389,3,54,81,Yes
EMP1105,HR,36,51130,1,49,49,No
EMP1106,Finance,28,98920,7,44,84,Yes
EMP1107,Sales,31,104415,20,60,87,Yes
EMP1108,IT,40,39168,19,30,99,Yes
EMP1109,Operations,45,76990,7,32,77,No
EMP1110,Operations,36,38356,10,57,83,Yes
EMP1111,HR,57,30383,12,47,67,No
EMP1112,HR,53,109874,11,30,94,Yes
EMP1113,Finance,27,81822,12,50,97,No
EMP1114,Operations,30,82080,6,53,73,No
EMP1115,Sales,55,88372,15,43,92,Yes
EMP1116,Sales,41,57177,3,38,96,Yes
EMP1117,Finance,57,104997,13,40,41,No
EMP1118,Sales,32,88904,7,41,91,Yes
EMP1119,Sales,59,116905,9,47,40,No
EMP1120,IT,26,56635,14,45,75,No
EMP1121,Operations,51,109659,16,44,90,Yes
EMP1122,Sales,35,78005,8,39,82,Yes
EMP1123,Finance,56,94588,12,43,87,Yes
EMP1124,Sales,50,60509,10,38,54,No
EMP1125,IT,41,40670,18,60,88,Yes
EMP1126,IT,34,88464,9,53,77,No
EMP1127,Marketing,59,62093,4,56,52,No
EMP1128,Sales,32,64618,1,52,74,Yes
EMP1129,HR,24,97529,10,52,100,Yes
EMP1130,Finance,27,26607,19,39,70,No
EMP1131,Sales,32,31734,9,60,95,Yes
EMP1132,HR,46,89454,3,48,80,Yes
EMP1133,IT,30,98772,10,32,55,No
EMP1134,Finance,59,103135,20,37,89,Yes
EMP1135,Finance,49,63974,19,43,59,No
EMP1136,HR,27,52235,7,38,82,Yes
EMP1137,IT,32,97350,3,35,40,No
EMP1138,Operations,59,86592,10,31,54,No
EMP1139,Sales,50,34329,8,59,56,No
EMP1140,Operations,58,111662,7,43,47,No
EMP1141,Operations,30,59816,5,32,43,No
EMP1142,Sales,59,99607,10,44,47,No
EMP1143,Sales,46,60683,17,47,71,No
EMP1144,Marketing,23,81626,11,49,56,Yes
EMP1145,IT,57,101955,1,54,83,No
EMP1146,Marketing,23,47962,16,46,81,Yes
EMP1147,Sales,32,101720,14,50,92,Yes
EMP1148,HR,51,70607,14,40,60,No
EMP1149,IT,42,78955,16,39,82,No
EMP1150,Marketing,23,84614,3,40,56,No
EMP1151,Finance,53,25150,18,44,66,Yes
EMP1152,Marketing,44,106609,16,50,68,No
EMP1153,IT,38,96987,5,59,58,No
EMP1154,Operations,52,40915,1,50,78,No
EMP1155,Operations,31,65730,18,30,75,No
EMP1156,IT,28,85482,4,50,93,Yes
EMP1157,Operations,39,91698,9,43,93,Yes
EMP1158,Finance,36,84871,18,34,64,No
EMP1159,Marketing,53,42892,3,38,89,Yes
EMP1160,Finance,42,91550,9,56,40,No
EMP1161,Sales,58,101011,16,57,49,No
EMP1162,Finance,43,68573,18,54,74,Yes
EMP1163,Sales,33,116422,8,48,64,No
EMP1164,Finance,23,66704,16,52,98,No
EMP1165,Finance,30,89923,2,34,72,No
EMP1166,Sales,27,82711,4,46,98,Yes
EMP1167,Operations,30,78736,5,32,70,No
EMP1168,Sales,42,106691,13,50,45,No
EMP1169,Operations,55,74808,11,50,85,No
EMP1170,Finance,55,29705,20,32,55,No
EMP1171,Sales,35,36846,14,33,88,Yes
EMP1172,HR,49,46805,10,58,41,Yes
EMP1173,HR,39,71984,12,43,49,No
EMP1174,Finance,57,114364,6,35,51,Yes
EMP1175,Finance,36,90230,19,34,54,No
EMP1176,Sales,50,58466,1,58,91,Yes
EMP1177,Sales,55,45706,3,44,100,Yes
EMP1178,Marketing,40,108746,14,52,56,No
EMP1179,Sales,33,75422,16,33,55,No
EMP1180,Sales,57,63780,10,30,93,Yes
EMP1181,Sales,21,99177,2,59,78,No
EMP1182,Sales,35,104569,12,37,80,Yes
EMP1183,Sales,29,107345,4,58,80,Yes
EMP1184,Sales,49,29373,19,41,86,Yes
EMP1185,Sales,41,79460,6,36,48,No
EMP1186,Sales,54,90771,9,56,50,No
EMP1187,Finance,39,69396,4,44,44,No
EMP1188,IT,46,98048,12,32,90,Yes
EMP1189,Sales,55,41199,15,41,83,Yes
EMP1190,Sales,58,74941,12,33,83,Yes
EMP1191,HR,56,67992,20,37,81,Yes
EMP1192,Finance,40,110097,14,33,48,Yes
EMP1193,HR,40,89569,4,33,55,No
EMP1194,IT,45,84459,12,51,100,Yes
EMP1195,Marketing,47,101983,5,58,66,No
EMP1196,Finance,47,61666,2,52,63,No
EMP1197,Finance,36,72537,4,51,63,No
EMP1198,Operations,43,32936,13,38,52,No
EMP1199,Finance,26,111870,7,50,80,Yes
EMP1200,HR,24,68713,8,34,90,Yes
EMP1201,HR,56,52152,19,36,92,No
EMP1202,Sales,30,103116,1,38,94,No
EMP1203,IT,55,57853,6,33,82,No
EMP1204,IT,21,71955,8,48,60,Yes
EMP1205,Sales,24,41614,14,46,47,No
EMP1206,Finance,49,72453,17,48,46,No
EMP1207,IT,23,111363,17,39,69,No
EMP1208,HR,24,87781,13,43,83,Yes
EMP1209,Operations,49,34632,3,40,78,Yes
EMP1210,IT,38,106830,19,47,85,Yes
EMP1211,Marketing,54,63652,15,46,78,No
EMP1212,Operations,28,110814,18,53,95,Yes
EMP1213,Finance,35,79239,11,56,69,Yes
EMP1214,Operations,27,65966,14,40,82,Yes
EMP1215,IT,51,33799,3,56,45,Yes
EMP1216,HR,44,42054,18,31,77,No
EMP1217,Marketing,42,112819,4,43,62,No
EMP1218,Finance,24,62700,20,39,62,No
EMP1219,Marketing,34,45280,16,37,94,Yes
EMP1220,Marketing,44,40058,9,48,54,No
EMP1221,Marketing,56,28441,20,59,82,No
EMP1222,Sales,22,48647,9,52,88,Yes
EMP1223,Sales,43,25800,6,57,49,No
EMP1224,Finance,25,43595,1,32,87,Yes
EMP1225,Finance,47,84460,11,35,63,No
EMP1226,Sales,57,103148,3,58,43,No
